ageb,POBTOT,x,y,n_denue,lon,lat
2988,7510,489759.1867830502,2137597.8319773083,282.0,-99.09749510787934,19.33228708667204
3026,2493,493929.83404412045,2137312.611790978,138.0,-99.05778861449122,19.32972635902464
3030,5682,494908.5169219051,2137554.0039243903,219.0,-99.0484720974597,19.33191062078915
3045,6787,495353.22813691985,2137690.6287785796,322.0,-99.04423867720419,19.333146424676876
305A,6494,495876.9381861134,2137863.513141549,358.0,-99.0392531729744,19.334709983757065
3064,7629,495843.63949894,2137377.946155625,308.0,-99.039569132646,19.330321673111236
3079,6741,495527.2844455804,2137163.385264061,488.0,-99.04258037388986,19.328381930726664
3083,5621,498216.99874347186,2138025.1521024616,356.0,-99.01697502663123,19.336174208197164
3100,5076,499148.6680937846,2138302.947745832,282.0,-99.00810521181616,19.33868535594595
3115,5980,500153.15801498113,2138473.363069006,260.0,-98.99854182629652,19.34022563360353
3134,1927,501090.4476406962,2138141.0794763397,95.0,-98.98961834943873,19.337222379733532
3149,3862,501339.77408675477,2138441.853637248,153.0,-98.98724441592658,19.339940431277743
3153,3560,501770.6147693599,2138489.457543524,170.0,-98.98314246798303,19.340370311260067
3204,6595,496066.8857406105,2137238.987970493,250.0,-99.03744351141965,19.329066306820724
3219,7613,496370.3230229933,2137210.9222007557,395.0,-99.03455471522048,19.32881323662582
3223,7231,496721.4937781823,2137649.9775819066,299.0,-99.0312123053327,19.33278174074522
3238,6000,497738.8102795581,2137914.137467184,201.0,-99.02152747832685,19.335170448718856
3242,8092,499536.1080966588,2138325.1910154633,274.0,-99.00441654626218,19.338886502922325
3257,4049,498369.0263861534,2137603.023084478,119.0,-99.01552729005525,19.332359406630207
3276,6422,497901.69958401815,2137483.6485621836,262.0,-99.01997623056658,19.331280143017832
3295,5190,495241.31252318714,2137114.571886787,313.0,-99.04530271215334,19.32794013061283
3327,7178,494076.36886704696,2136556.082598632,220.0,-99.0563912422321,19.322889768589008
3346,6680,499717.45218385727,2137900.282950173,326.0,-99.00268997220986,19.33504649173556
3365,2467,501634.51095239725,2138295.7345179734,73.0,-98.98443844052173,19.338619683384334
337A,7522,493358.99746440974,2136285.8235059534,368.0,-99.06321946674781,19.32044509954433
3401,7248,496132.50559401687,2136768.3631643215,294.0,-99.03681785326471,19.324813226991864
3420,4302,501733.75624747516,2137701.393613448,55.0,-98.98349410343883,19.333248330388642
3488,4965,491258.93883501674,2134731.9905086025,226.0,-99.08320399686839,19.30639451456249
3492,5625,491157.90385464125,2134365.2166983695,201.0,-99.08416402765147,19.303079400557337
3505,5709,491795.5550847532,2134191.9435685943,157.0,-99.07809376707132,19.301516162716226
351A,5705,492113.1783305875,2133824.0627143304,302.0,-99.07506896518629,19.29819275053809
3539,4545,491996.89262733085,2133478.7474132623,142.0,-99.07617436013925,19.295071544307067
3558,1463,495334.6822310454,2143850.1631915257,75.0,-99.04443031502389,19.38881211483912
3562,1809,495674.57488085475,2143645.1519743223,59.0,-99.04119287029644,19.38696012856506
3577,2169,495848.0137774505,2143493.4299364984,128.0,-99.03954080693471,19.385589337028527
3581,3942,495258.65553799353,2143442.3778415704,54.0,-99.04515334176358,19.38512665709135
3596,4594,495415.5206747877,2143188.5780773554,72.0,-99.0436588538866,19.382833355814636
3613,1441,495772.0048812358,2144018.151925587,89.0,-99.04026583171816,19.39033124919956
