ageb,POBTOT,x,y,n_denue,lon,lat,dist_hosp_m,dist_salud_m,hosp_caminando_min,hosp_auto_min,salud_caminando_min,salud_auto_min
0568,5839,492455.7602760329,2141705.661332084,234.0,-99.07183931784697,19.369422831672424,1467.2437603112587,245.46996543163698,19.56325013748345,4.4017312809337765,3.2729328724218263,0.7364098962949109
0572,5325,492779.6072814069,2141402.930091268,384.0,-99.06875436947792,19.36668814434683,1022.1375075666396,509.61541075212165,13.628500100888527,3.066412522699919,6.794872143361622,1.528846232256365
0587,2637,496509.38315430685,2141835.1906102183,20.0,-99.03323931771534,19.37060457050024,2784.1014955022947,657.3475640092827,37.12135327336393,8.352304486506885,8.764634186790436,1.9720426920278482
0591,3807,496787.1363427764,2141636.2135136365,139.0,-99.0305940841764,19.368806814420303,2706.3338851383714,322.19233488365364,36.08445180184495,8.119001655415115,4.295897798448715,0.966577004650961
0604,3653,497091.61176450347,2141803.120413941,131.0,-99.02769501088802,19.370315669886526,2572.7741301689884,205.43509072059797,34.303655068919845,7.718322390506966,2.739134542941306,0.616305272161794
0619,5610,497843.8604134106,2141968.591638584,475.0,-99.02053194084112,19.371812035282645,2267.2578106177452,58.48141447417823,30.230104141569935,6.801773431853236,0.7797521929890431,0.1754442434225347
0623,5433,498368.11178074393,2142573.263384867,484.0,-99.01554025073818,19.377277140221604,2460.14232935372,163.6756161980403,32.80189772471627,7.380426988061161,2.182341549307204,0.49102684859412093
0638,4162,498829.148317404,2142279.520997791,273.0,-99.01114968165132,19.374622819499717,1767.0427417551452,542.7910522494552,23.560569890068603,5.301128225265436,7.237214029992736,1.6283731567483657
0642,2515,485751.1074320714,2141140.191455807,129.0,-99.13567941783282,19.364276117935947,1884.789137499573,153.09025850173555,25.130521833327638,5.654367412498719,2.0412034466898072,0.4592707755052067
0657,1916,486272.90551552025,2141168.422464292,28.0,-99.13071101605384,19.3645348849882,1272.9404488825655,494.7531512129048,16.972539318434208,3.818821346647697,6.596708682838731,1.4842594536387146
0676,2699,487347.37859671545,2141505.663187292,335.0,-99.1204820131071,19.367589690307465,455.6502552479055,316.63425600384954,6.075336736638739,1.3669507657437165,4.221790080051327,0.9499027680115487
0680,3125,487618.1369234805,2141372.55954571,143.0,-99.11790291121976,19.36638848013015,836.6142444687354,228.93203067223502,11.154856592916472,2.5098427334062063,3.0524270756298004,0.6867960920167051
0695,3633,487875.5273244513,2141331.175438022,131.0,-99.11545172181437,19.36601605003781,1026.7150795523244,152.51391125201445,13.689534394030991,3.080145238656973,2.033518816693526,0.4575417337560434
0708,4420,488175.2189791631,2141292.3793861982,235.0,-99.11259775966752,19.36566722549517,1330.5042917431851,179.8577617141989,17.74005722324247,3.9915128752295557,2.3981034895226516,0.5395732851425967
0727,2181,488642.13050422544,2140869.5457324577,263.0,-99.1081492276218,19.36184864135601,806.9470488020186,517.6420056314798,10.759293984026915,2.420841146406056,6.901893408419731,1.5529260168944397
0731,11610,489450.2859216417,2141191.127666555,425.0,-99.10045578977154,19.364759286317465,1530.406810277886,291.2099898347386,20.40542413703848,4.591220430833658,3.882799864463182,0.8736299695042159
0746,7993,490185.5335335248,2140784.4647610164,652.0,-99.09345257671356,19.361087873129875,1398.585750967039,124.93151100196236,18.647810012893853,4.195757252901117,1.6657534800261649,0.3747945330058871
0750,9308,490720.69692382537,2141256.099141797,237.0,-99.08835909392316,19.36535272679479,1490.558365101223,322.9540694221436,19.874111534682974,4.471675095303669,4.306054258961915,0.9688622082664309
0765,3454,497263.5269559504,2141542.087289654,71.0,-99.02605758054774,19.367956871274767,2170.9380105584223,332.82407682026036,28.945840140778966,6.512814031675267,4.4376543576034715,0.9984722304607812
077A,4047,497463.4552051061,2141350.8083266383,165.0,-99.02415354465904,19.36622848388468,1812.0927737969298,321.79851318450847,24.161236983959064,5.43627832139079,4.290646842460113,0.9653955395535254
0784,6393,498409.4150528315,2141462.8010149314,437.0,-99.01514599802384,19.36724157040602,1493.626019316905,531.6291650238066,19.915013590892066,4.480878057950715,7.088388866984089,1.59488749507142
0801,3649,485721.6923978804,2140781.11198162,177.0,-99.13595682026232,19.36103079878935,1997.7674343147173,473.66624211156903,26.63689912419623,5.993302302944152,6.31554989482092,1.4209987263347073
0816,1207,486705.5378445335,2140977.4513978376,14.0,-99.12659011535976,19.36281193198596,739.3407599240711,198.1827097382944,9.857876798987615,2.2180222797722133,2.6424361298439254,0.5945481292148832
0820,1112,486984.2844154981,2141029.149230131,20.0,-99.12393624304904,19.36328096717641,432.04140109063405,253.34917150127887,5.760552014541787,1.2961242032719023,3.377988953350385,0.7600475145038367
0835,6828,497828.4183604317,2140965.6085812734,392.0,-99.0206778454402,19.36274773583908,1122.6522879490403,331.84921643698465,14.96869717265387,3.3679568638471213,4.424656219159795,0.995547649310954
084A,7352,498575.16602717206,2140776.396285638,441.0,-99.01356715740675,19.361038430617107,645.1588136113403,325.57508124415375,8.60211751481787,1.935476440834021,4.341001083255383,0.9767252437324613
0854,3289,499041.71510612295,2141097.9896608223,343.0,-99.00912487538606,19.36394505260512,1178.1413652009885,162.41485655730642,15.70855153601318,3.5344240956029656,2.1655314207640854,0.4872445696719193
0888,4544,500475.8921853509,2141558.0461868923,95.0,-98.99546839668358,19.36810290555881,611.792347838717,110.68830512451632,8.157231304516227,1.835377043516151,1.4758440683268843,0.332064915373549
0892,2220,500531.4952687093,2141303.460588748,118.0,-98.99493899668448,19.365802118862945,294.3713082872674,294.3713082872674,3.924950777163566,0.8831139248618023,3.924950777163566,0.8831139248618023
0905,2580,485854.3708962773,2140514.464152093,153.0,-99.13469149096636,19.358621959411245,1872.1933880295558,291.89710991350796,24.962578507060744,5.616580164088668,3.8919614655134396,0.8756913297405239
091A,1444,486773.8795336333,2140758.745071535,55.0,-99.1259378481247,19.36083586682054,637.2181402178261,191.43910613321395,8.496241869571014,1.9116544206534785,2.5525214151095192,0.5743173183996418
0924,3759,486830.25143956224,2140547.4386244165,245.0,-99.1253996214079,19.35892659536724,672.7286215533809,212.84491168715067,8.96971495404508,2.018185864660143,2.8379321558286756,0.6385347350614521
0939,4294,487348.7187061744,2140736.418624639,293.0,-99.12046414578452,19.360637799027675,179.2646979661648,179.2646979661648,2.3901959728821973,0.5377940938984944,2.3901959728821973,0.5377940938984944
0943,3439,487821.2954471254,2140718.098858586,157.0,-99.1159642106035,19.360475158766985,750.0091683953614,139.84811092191072,10.000122245271484,2.2500275051860843,1.8646414789588095,0.41954433276573216
0958,5599,488173.1361359973,2140744.9999736613,542.0,-99.11261419620408,19.360720375222627,968.7696473829898,504.30606122294546,12.916928631773198,2.9063089421489696,6.724080816305939,1.5129181836688366
