ageb,POBTOT,x,y,n_denue,lon,lat,dist_hosp_pub_m,dist_hosp_priv_m,pub_caminando_min,pub_auto_min,priv_caminando_min,hosp_mas_cercano,penaliza_publico_m
0356,5122,488394.9246992245,2142717.24136318,403.0,-99.1105143646166,19.37854541656283,3230.2590026470702,767.5385833362567,43.07012003529427,9.690777007941211,10.233847777816756,Privado,2462.7204193108137
0360,5255,488344.8357670214,2142374.600514054,107.0,-99.11098926042976,19.37544857881948,2800.7607186221717,924.2192605494846,37.34347624829562,8.402282155866516,12.322923473993129,Privado,1876.541458072687
0375,6884,489039.1198034965,2142744.4467314337,241.0,-99.1043799016396,19.378794902143724,3259.1835525526694,1590.3029906491956,43.455780700702256,9.77755065765801,21.204039875322607,Privado,1668.8805619034738
038A,5123,489097.8739046776,2142293.8527653413,247.0,-99.10381781041202,19.374723069306576,2690.989421922305,1813.4033658602204,35.87985895896407,8.072968265766916,24.17871154480294,Privado,877.5860560620847
0407,6972,492056.5332561652,2142615.315100783,396.0,-99.0756447110904,19.37764211511299,2751.324908878926,4784.15059447755,36.68433211838568,8.253974726636779,63.788674593033996,Publico,0.0
0411,4975,492631.9989957499,2142642.5220208094,409.0,-99.07016472614548,19.37789018803827,2637.8206416221788,4136.369706134477,35.170941888295715,7.913461924866537,55.15159608179303,Publico,0.0
0426,8211,492772.5088559375,2142187.76675138,377.0,-99.0688249398936,19.373780934964916,2042.0209957923912,4210.3787029505775,27.226946610565218,6.126062987377174,56.1383827060077,Publico,0.0
0445,3848,496347.0200778965,2142605.208251432,269.0,-99.03478689296894,19.37756317442748,1885.3326914854583,2842.1269498566835,25.13776921980611,5.655998074456376,37.89502599808911,Publico,0.0
0464,4863,497378.9531662812,2142227.372069338,166.0,-99.02495939782278,19.37415016308315,2816.4458921721853,3702.404127280761,37.552611895629134,8.449337676516556,49.36538836374348,Publico,0.0
0479,4554,497958.6480758456,2142880.702864253,201.0,-99.01943984765424,19.38005519215579,3107.4492850587358,4116.481541163006,41.432657134116475,9.322347855176208,54.88642054884008,Publico,0.0
0483,6782,486172.240573989,2142190.1363178124,363.0,-99.131676973043,19.373767727565085,4174.379624464632,1320.0759773113705,55.65839499286176,12.523138873393897,17.601013030818272,Privado,2854.3036471532614
0498,5441,485867.6082000426,2141824.601778082,170.0,-99.1345751640296,19.370462162222573,4249.398102051526,1576.4835304378742,56.65864136068701,12.748194306154577,21.019780405838322,Privado,2672.914571613652
0500,6227,486524.7895047127,2142032.556244105,149.0,-99.1283186629924,19.37234602783981,3686.8681651648963,819.163739515938,49.158242202198615,11.06060449549469,10.92218319354584,Privado,2867.704425648958
0515,7149,486901.1145575961,2141967.976940501,289.0,-99.12473464288522,19.37176489665231,3261.8702848949933,386.3414077933218,43.49160379859991,9.78561085468498,5.151218770577624,Privado,2875.5288771016717
0534,4645,488269.0448131502,2141980.35354541,109.0,-99.11170856985858,19.371885208707635,2322.3562237082638,1277.7192910388783,30.964749649443515,6.967068671124792,17.03625721385171,Privado,1044.6369326693855
0553,5795,492056.2619027186,2141788.62049104,421.0,-99.07564384728268,19.37017101854123,1772.5474804040566,3791.0319823834784,23.633966405387422,5.31764244121217,50.54709309844638,Publico,0.0
0568,5839,492455.7602760329,2141705.661332084,234.0,-99.07183931784697,19.369422831672424,1467.2437603112587,3599.7826373735165,19.56325013748345,4.4017312809337765,47.99710183164689,Publico,0.0
0572,5325,492779.6072814069,2141402.930091268,384.0,-99.06875436947792,19.36668814434683,1022.1375075666396,3190.4598007578093,13.628500100888527,3.066412522699919,42.539464010104126,Publico,0.0
0587,2637,496509.38315430685,2141835.1906102183,20.0,-99.03323931771534,19.37060457050024,2784.1014955022947,3196.547366315145,37.12135327336393,8.352304486506885,42.6206315508686,Publico,0.0
0591,3807,496787.1363427764,2141636.2135136365,139.0,-99.0305940841764,19.368806814420303,2706.3338851383714,2895.6902758081706,36.08445180184495,8.119001655415115,38.609203677442274,Publico,0.0
0604,3653,497091.61176450347,2141803.120413941,131.0,-99.02769501088802,19.370315669886526,2572.7741301689884,3112.5566841577265,34.303655068919845,7.718322390506966,41.50075578876969,Publico,0.0
0619,5610,497843.8604134106,2141968.591638584,475.0,-99.02053194084112,19.371812035282645,2267.2578106177452,3363.8218778452892,30.230104141569935,6.801773431853236,44.85095837127052,Publico,0.0
0623,5433,498368.11178074393,2142573.263384867,484.0,-99.01554025073818,19.377277140221604,2460.14232935372,4084.5410984107975,32.80189772471627,7.380426988061161,54.46054797881063,Publico,0.0
0638,4162,498829.148317404,2142279.520997791,273.0,-99.01114968165132,19.374622819499717,1767.0427417551452,3754.292595619444,23.560569890068603,5.301128225265436,50.05723460825925,Publico,0.0
0642,2515,485751.1074320714,2141140.191455807,129.0,-99.13567941783282,19.364276117935947,4046.2560905301916,1884.789137499573,53.950081207069225,12.138768271590575,25.130521833327638,Privado,2161.4669530306187
0657,1916,486272.90551552025,2141168.422464292,28.0,-99.13071101605384,19.3645348849882,3413.9185672041112,1272.9404488825655,45.51891422938815,10.241755701612334,16.972539318434208,Privado,2140.9781183215455
0676,2699,487347.37859671545,2141505.663187292,335.0,-99.1204820131071,19.367589690307465,2428.0619924301627,455.6502552479055,32.374159899068836,7.2841859772904884,6.075336736638739,Privado,1972.4117371822572
